,sentence,term,polarity,from,to,ln
1272,The jukebox plays everything from Italian Opera to The Strokes.,['jukebox'],['positive'],['4'],['11'],[7]
1273,"The kitchen however, is almost always slow.",['kitchen'],['negative'],['4'],['11'],[7]
1274,The lamb meat was under-cooked and EXTRMELY CHEWY.,['lamb meat'],['negative'],['4'],['13'],[9]
1275,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.","['bruschettas', 'paninis', 'tramezzinis']","['positive', 'positive', 'positive']","['23', '36', '45']","['34', '43', '56']","[11, 7, 11]"
1276,The last time I went we were seated at a table in a corridor next to the kitchen.,['table'],['negative'],['41'],['46'],[5]
1277,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.","['food', 'flavor', 'dish', 'spice']","['negative', 'negative', 'negative', 'negative']","['42', '123', '137', '98']","['46', '129', '141', '103']","[4, 6, 4, 5]"
1278,The lava cake dessert was incredible and I recommend it.,['lava cake dessert'],['positive'],['4'],['21'],[17]
1279,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,"['lobster sandwich', 'price']","['conflict', 'negative']","['4', '94']","['20', '99']","[16, 5]"
1280,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,"['lobster sandwich', 'spaghetti with Scallops and Shrimp']","['positive', 'positive']","['4', '37']","['20', '71']","[16, 34]"
1281,The location and ambience is Ok but the food is what makes up for it.,"['location', 'ambience', 'food']","['neutral', 'neutral', 'positive']","['4', '17', '40']","['12', '25', '44']","[8, 8, 4]"
1282,The location is perfect.,['location'],['positive'],['4'],['12'],[8]
1283,The lox is always fresh too.,['lox'],['positive'],['4'],['7'],[3]
1284,The lunch special is an asbolute steal.,['lunch special'],['positive'],['4'],['17'],[13]
1285,"The main course had an average portion, and was decent overall.","['main course', 'portion']","['positive', 'neutral']","['4', '31']","['15', '38']","[11, 7]"
1286,The main downside to the place is the nazi-like guy running it who constantly complains about the noise level.,"['noise level', 'guy']","['negative', 'negative']","['98', '48']","['109', '51']","[11, 3]"
1287,The makhani was OK --the korma was bland.,"['makhani', 'korma']","['neutral', 'negative']","['4', '25']","['11', '30']","[7, 5]"
1288,"The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).","['man', 'table', 'table']","['negative', 'neutral', 'negative']","['4', '44', '104']","['7', '49', '109']","[3, 5, 5]"
1289,The manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group.,"['manager', 'bill']","['negative', 'neutral']","['4', '72']","['11', '76']","[7, 4]"
1290,The meat dishes were only so-so.,['meat dishes'],['neutral'],['4'],['15'],[11]
1291,"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.","['menu', 'portions', 'lentil dish', 'basmati rice dish', 'flavor']","['negative', 'negative', 'negative', 'negative', 'negative']","['4', '18', '60', '102', '127']","['8', '26', '71', '119', '133']","[4, 8, 11, 17, 6]"
1292,The menu choices are similar but the taste lacked more flavor than it looked.,"['taste', 'menu choices', 'flavor']","['negative', 'neutral', 'negative']","['37', '4', '55']","['42', '16', '61']","[5, 12, 6]"
1293,"The menu consisted of standard brassiere food, better then places like Balthazar etc.","['menu', 'brassiere food']","['positive', 'positive']","['4', '31']","['8', '45']","[4, 14]"
1294,The menu has lots of options: I hope to go back to try those potato pancakes.,"['menu', 'potato pancakes']","['positive', 'positive']","['4', '61']","['8', '76']","[4, 15]"
1295,"The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food.","['menu', 'food', 'Prix Fixe']","['negative', 'positive', 'neutral']","['4', '102', '12']","['8', '106', '21']","[4, 4, 9]"
1296,The menu is limited but almost all of the dishes are excellent.,"['menu', 'dishes']","['negative', 'positive']","['4', '42']","['8', '48']","[4, 6]"
1297,The menu is nothing like the one on the website.,['menu'],['negative'],['4'],['8'],[4]
1298,The menu is very limited - i think we counted 4 or 5 entrees.,"['menu', 'entrees']","['negative', 'negative']","['4', '53']","['8', '60']","[4, 7]"
1299,"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.","['menu', 'Chilean Sea Bass', 'server', 'specials']","['positive', 'negative', 'negative', 'neutral']","['4', '46', '72', '101']","['8', '62', '78', '109']","[4, 16, 6, 8]"
1300,"The menu may be small, but everything on it is delicious.",['menu'],['negative'],['4'],['8'],[4]
1301,The menu prices are a bit expensive for what you get in quality and portion size.,"['menu prices', 'quality', 'portion size']","['negative', 'negative', 'negative']","['4', '56', '68']","['15', '63', '80']","[11, 7, 12]"
1302,The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,"['menu', 'variety of dishes', 'seafood']","['positive', 'positive', 'positive']","['4', '31', '53']","['8', '48', '60']","[4, 17, 7]"
1303,"The menu was impressive with selections ranging from a burger, to steak, to escargot.","['menu', 'burger', 'steak', 'escargot']","['positive', 'neutral', 'neutral', 'neutral']","['4', '55', '66', '76']","['8', '61', '71', '84']","[4, 6, 5, 8]"
1304,The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.,"['miso soup', 'fish', 'flavor']","['negative', 'negative', 'negative']","['4', '36', '21']","['13', '40', '27']","[9, 4, 6]"
1305,"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",['servers'],['negative'],['54'],['61'],[7]
1306,"The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander.","['music', 'corriander']","['conflict', 'neutral']","['4', '136']","['9', '146']","[5, 10]"
1307,The music is the best among all the Indian restaurants I have visited.,['music'],['positive'],['4'],['9'],[5]
1308,"The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato.","['mussaman curry', 'fried tofu', 'potato']","['negative', 'negative', 'negative']","['4', '81', '174']","['18', '91', '180']","[14, 10, 6]"
1309,"The noise level was unbearable, conversation impossible.",['noise level'],['negative'],['4'],['15'],[11]
1310,The noodle and rices dishes taste great.,['noodle and rices dishes'],['positive'],['4'],['27'],[23]
1311,The octopus eaters were floored by the Octopus salad.,['Octopus salad'],['positive'],['39'],['52'],[13]
1312,The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.,"['vegetarian entree', ""Abby's treasure"", 'wintermelon', 'assortment of fresh mushrooms and vegetables']","['positive', 'positive', 'positive', 'positive']","['8', '27', '101', '125']","['25', '42', '112', '169']","[17, 15, 11, 44]"
1313,"The only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.","['waitstaff', 'food']","['negative', 'neutral']","['57', '91']","['66', '95']","[9, 4]"
1314,The only disappointment was the coat check girls who didn't seem to know what a customer is on a realtively non-busy night (for the coat check girls).,"['coat check girls', 'coat check girls']","['negative', 'negative']","['32', '132']","['48', '148']","[16, 16]"
1315,The only fallback on this restaurant is the prices.,['prices'],['negative'],['44'],['50'],[6]
1316,The only friendly staff member was the guy at the bar.,"['staff member', 'bar', 'guy']","['positive', 'neutral', 'positive']","['18', '50', '39']","['30', '53', '42']","[12, 3, 3]"
1317,"The only positive was the wait staff, which was prompt, knowledgable, and likeable.",['wait staff'],['positive'],['26'],['36'],[10]
1318,"The only possible drawback to this last point is that as of the date of this posting, the additional menu items are only written in Chinese.",['menu items'],['negative'],['101'],['111'],[10]
1319,The only problem is that the manager is a complete incompetent.,['manager'],['negative'],['29'],['36'],[7]
1320,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,['Grilled Chicken special with Edamame Puree'],['neutral'],['46'],['88'],[42]
1321,The only thing more wonderful than the food (which is exceptional) is the service.,"['food', 'service']","['positive', 'positive']","['39', '74']","['43', '81']","[4, 7]"
1322,The only thing the waiters don't do for you is wipe your chin when you leave.,['waiters'],['positive'],['19'],['26'],[7]
1323,"The only weird thing was if we got a bottle, the waitress would have simply multiplied the glass price X4, which makes no sense whatsoever.","['bottle', 'waitress', 'price']","['neutral', 'negative', 'negative']","['37', '49', '97']","['43', '57', '102']","[6, 8, 5]"
1324,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,['three course meal'],['positive'],['31'],['48'],[17]
1325,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,['outdoor atmosphere'],['positive'],['4'],['22'],[18]
1326,"The overall price tag was very very expensive, something I did expect.",['price tag'],['negative'],['12'],['21'],[9]
1327,The owner and staff are all Japanese as well and that adds to the entire ambiance.,"['staff', 'ambiance', 'owner']","['positive', 'positive', 'positive']","['14', '73', '4']","['19', '81', '9']","[5, 8, 5]"
1328,"The owner is very friendly and a great guy, go try his pizza, you'll like it!","['owner', 'pizza']","['positive', 'positive']","['4', '55']","['9', '60']","[5, 5]"
1329,The owner truly caters to all your needs.,['owner'],['positive'],['4'],['9'],[5]
1330,The owners and employees are friendly and their pizza is fantastic.,"['owners', 'employees', 'pizza']","['positive', 'positive', 'positive']","['4', '15', '48']","['10', '24', '53']","[6, 9, 5]"
1331,"The palak paneer was standard, and I was not a fan of the malai kofta.","['palak paneer', 'malai kofta']","['neutral', 'neutral']","['4', '58']","['16', '69']","[12, 11]"
1332,The parathas and kebabs are made when ordered ensuring a level of freshness that is unsurpassed.,"['parathas', 'kebabs']","['positive', 'positive']","['4', '17']","['12', '23']","[8, 6]"
1333,The people in the restaurant were pretty obnoxious and loud.,['people'],['negative'],['4'],['10'],[6]
1334,The people that work there are always so friendly you forget you are in New York sometimes.,['people'],['positive'],['4'],['10'],[6]
1335,"The people with carts of food don't understand you because they don't speak English, their job is to give you the delicious food you point at.","['food', 'people with carts of food']","['positive', 'negative']","['124', '4']","['128', '29']","[4, 25]"
1336,"The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.","['pesto pizza', 'Italian cheese', 'thin-crust pizza']","['positive', 'positive', 'positive']","['4', '76', '31']","['15', '90', '47']","[11, 14, 16]"
1337,"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.","['menu', 'fried chicken', 'pork chop', 'noodle dishes']","['positive', 'neutral', 'neutral', 'neutral']","['14', '78', '93', '108']","['18', '91', '102', '121']","[4, 13, 9, 13]"
1338,The photos of the restaurant in its web site are way better than the real look.,['look'],['negative'],['74'],['78'],[4]
1339,The pickles were great addition.,['pickles'],['positive'],['4'],['11'],[7]
1340,The pizza here is delicious.,['pizza'],['positive'],['4'],['9'],[5]
1341,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","['pizza', 'fresh mozzarella', 'cheese']","['positive', 'positive', 'negative']","['4', '34', '90']","['9', '50', '96']","[5, 16, 6]"
